,Event,Gender,Date Sort,Athlete,Nationality,NOC,Time,Result Sort,First Name,Last Name
39,100m Backstroke,Men,20180407,Chris Walker-Hebborn,England,Great Britain,54.23,54230,Chris,Walker-Hebborn
47,100m Backstroke,Men,20180406,Luke Greenbank,England,Great Britain,54.37,54370,Luke,Greenbank
60,100m Backstroke,Men,20180806,Nicholas Pyle,Great Britain,Great Britain,54.50,54500,Nicholas,Pyle
62,100m Backstroke,Men,20180406,Xavier Castelli,Wales,Great Britain,54.60,54600,Xavier,Castelli
499,100m Backstroke,Women,20180806,Georgia Davies,Wales,Great Britain,59.12,59120,Georgia,Davies
530,100m Backstroke,Women,20180809,Kathleen Dawson,Scotland,Great Britain,1:00.17,60170,Kathleen,Dawson
542,100m Backstroke,Women,20180406,Elizabeth Simmonds,England,Great Britain,1:00.49,60490,Elizabeth,Simmonds
559,100m Backstroke,Women,20180406,Cassie Wild,Scotland,Great Britain,1:00.93,60930,Cassie,Wild
981,100m Breaststroke,Men,20180804,Adam Peaty,England,Great Britain,57.10,57100,Adam,Peaty
982,100m Breaststroke,Men,20180804,James Wilby,England,Great Britain,58.64,58640,James,Wilby
986,100m Breaststroke,Men,20180803,Ross Murdoch,Scotland,Great Britain,59.14,59140,Ross,Murdoch
1000,100m Breaststroke,Men,20180724,Craig Benson,Scotland,Great Britain,59.50,59500,Craig,Benson
1483,100m Breaststroke,Women,20180804,Siobhan-Marie O'Connor,England,Great Britain,1:06.99,66990,Siobhan-Marie,O'Connor
1510,100m Breaststroke,Women,20180409,Chloe Tutton,Wales,Great Britain,1:07.87,67870,Chloe,Tutton
1516,100m Breaststroke,Women,20180729,Katie Matts,Great Britain,Great Britain,1:07.92,67920,Katie,Matts
1533,100m Breaststroke,Women,20180409,Sarah Vasey,England,Great Britain,1:08.36,68360,Sarah,Vasey
1967,100m Butterfly,Men,20180409,James Guy,England,Great Britain,51.31,51310,James,Guy
2068,100m Butterfly,Men,20180727,Cameron Brooks-Clarke,Great Britain,Great Britain,52.89,52890,Cameron,Brooks-Clarke
2080,100m Butterfly,Men,20180808,Jacob Peters,England,Great Britain,53.02,53020,Jacob,Peters
2084,100m Butterfly,Men,20180727,Sam Horrocks,Great Britain,Great Britain,53.07,53070,Sam,Horrocks
2464,100m Butterfly,Women,20180406,Charlotte Atkinson,Isle of Man,Great Britain,57.88,57880,Charlotte,Atkinson
2470,100m Butterfly,Women,20180406,Alys Thomas,Wales,Great Britain,58.06,58060,Alys,Thomas
2496,100m Butterfly,Women,20180301,Harriet Jones,Wales,Great Britain,58.85,58850,Harriet,Jones
2499,100m Butterfly,Women,20180301,Tain Bruce,Great Britain,Great Britain,58.92,58920,Tain,Bruce
2944,100m Freestyle,Men,20180408,Duncan Scott,Scotland,Great Britain,48.02,48020,Duncan,Scott
3092,100m Freestyle,Men,20180407,Calum Jarvis,Wales,Great Britain,49.65,49650,Calum,Jarvis
3107,100m Freestyle,Men,20180407,Jack Thorpe,Great Britain,Great Britain,49.75,49750,Jack,Thorpe
3111,100m Freestyle,Men,20180407,David Cumberlidge,England,Great Britain,49.77,49770,David,Cumberlidge
3440,100m Freestyle,Women,20180808,Freya Anderson,England,Great Britain,53.61,53610,Freya,Anderson
3472,100m Freestyle,Women,20181201,Anna Hopkin,England,Great Britain,54.53,54530,Anna,Hopkin
3542,100m Freestyle,Women,20180408,Lucy Hope,Great Britain,Great Britain,55.43,55430,Lucy,Hope
3572,100m Freestyle,Women,20180727,Emily Crane,Great Britain,Great Britain,55.60,55600,Emily,Crane
3922,1500m Freestyle,Men,20180410,Daniel Jervis,Wales,Great Britain,14:48.67,888670,Daniel,Jervis
3946,1500m Freestyle,Men,20180407,Tom Derbyshire,Great Britain,Great Britain,15:07.07,907070,Tom,Derbyshire
4012,1500m Freestyle,Men,20180705,Nathan Hughes,Great Britain,Great Britain,15:24.81,924810,Nathan,Hughes
4143,1500m Freestyle,Men,20180726,Kieran Bird,Great Britain,Great Britain,15:38.52,938520,Kieran,Bird
4481,1500m Freestyle,Women,20180405,Alice Dearing,England,Great Britain,16:37.62,997620,Alice,Dearing
4491,1500m Freestyle,Women,20180727,Polly Holden,Great Britain,Great Britain,16:39.72,999720,Polly,Holden
4558,1500m Freestyle,Women,20180727,Maisie Mccartney,Great Britain,Great Britain,16:52.34,1012340,Maisie,Mccartney
4582,1500m Freestyle,Women,20180405,Emily Clarke,Great Britain,Great Britain,16:55.82,1015820,Emily,Clarke
4839,200m Backstroke,Men,20180409,Luke Greenbank,England,Great Britain,1:57.43,117430,Luke,Greenbank
4854,200m Backstroke,Men,20180409,Craig McNally,Scotland,Great Britain,1:58.32,118320,Craig,McNally
4862,200m Backstroke,Men,20180807,Brodie Williams,Great Britain,Great Britain,1:58.62,118620,Brodie,Williams
4876,200m Backstroke,Men,20180409,Xavier Castelli,Wales,Great Britain,1:59.27,119270,Xavier,Castelli
5356,200m Backstroke,Women,20180302,Elizabeth Simmonds,England,Great Britain,2:10.26,130260,Elizabeth,Simmonds
5372,200m Backstroke,Women,20180629,Jessica Fullalove,England,Great Britain,2:11.16,131160,Jessica,Fullalove
5376,200m Backstroke,Women,20180727,Charlotte Evans,Great Britain,Great Britain,2:11.39,131390,Charlotte,Evans
5377,200m Backstroke,Women,20180727,Chloe Golding,England,Great Britain,2:11.40,131400,Chloe,Golding
5808,200m Breaststroke,Men,20180405,James Wilby,England,Great Britain,2:08.05,128050,James,Wilby
5812,200m Breaststroke,Men,20180405,Ross Murdoch,Scotland,Great Britain,2:08.32,128320,Ross,Murdoch
5824,200m Breaststroke,Men,20180405,Andrew Willis,England,Great Britain,2:09.31,129310,Andrew,Willis
5833,200m Breaststroke,Men,20180405,Craig Benson,Scotland,Great Britain,2:10.09,130090,Craig,Benson
6304,200m Breaststroke,Women,20180407,Molly Renshaw,England,Great Britain,2:23.28,143280,Molly,Renshaw
6308,200m Breaststroke,Women,20180407,Chloe Tutton,Wales,Great Britain,2:23.42,143420,Chloe,Tutton
6323,200m Breaststroke,Women,20180725,Katie Matts,Great Britain,Great Britain,2:25.06,145060,Katie,Matts
6329,200m Breaststroke,Women,20180725,Georgia Coates,Great Britain,Great Britain,2:25.62,145620,Georgia,Coates
6813,200m Butterfly,Men,20180804,James Guy,England,Great Britain,1:56.13,116130,James,Guy
6827,200m Butterfly,Men,20180407,Duncan Scott,Scotland,Great Britain,1:56.60,116600,Duncan,Scott
6861,200m Butterfly,Men,20180407,Jacob Peters,England,Great Britain,1:57.75,117750,Jacob,Peters
6915,200m Butterfly,Men,20180725,Thomas Beeley,Great Britain,Great Britain,1:59.09,119090,Thomas,Beeley
7280,200m Butterfly,Women,20180409,Alys Thomas,Wales,Great Britain,2:05.45,125450,Alys,Thomas
7300,200m Butterfly,Women,20180409,Charlotte Atkinson,Isle of Man,Great Britain,2:08.50,128500,Charlotte,Atkinson
7320,200m Butterfly,Women,20180304,Laura Stephens,England,Great Britain,2:10.00,130000,Laura,Stephens
7330,200m Butterfly,Women,20180506,Emily Large,England,Great Britain,2:10.41,130410,Emily,Large
7774,200m Freestyle,Men,20180807,Duncan Scott,Scotland,Great Britain,1:45.34,105340,Duncan,Scott
7785,200m Freestyle,Men,20180807,James Guy,England,Great Britain,1:46.20,106200,James,Guy
7793,200m Freestyle,Men,20180406,Calum Jarvis,Wales,Great Britain,1:46.53,106530,Calum,Jarvis
7822,200m Freestyle,Men,20180707,Thomas Dean,Great Britain,Great Britain,1:47.64,107640,Thomas,Dean
8289,200m Freestyle,Women,20180405,Eleanor Faulkner,England,Great Britain,1:57.72,117720,Eleanor,Faulkner
8299,200m Freestyle,Women,20180405,Holly Hibbott,England,Great Britain,1:58.10,118100,Holly,Hibbott
8311,200m Freestyle,Women,20180301,Kathryn Greenslade,Wales,Great Britain,1:58.53,118530,Kathryn,Greenslade
8341,200m Freestyle,Women,20180301,Lucy Hope,Great Britain,Great Britain,1:59.00,119000,Lucy,Hope
8764,200m Individual Medley,Men,20180805,Max Litchfield,England,Great Britain,1:57.62,117620,Max,Litchfield
8765,200m Individual Medley,Men,20180410,Duncan Scott,Scotland,Great Britain,1:57.86,117860,Duncan,Scott
8768,200m Individual Medley,Men,20180805,Mark Szaranek,Great Britain,Great Britain,1:58.07,118070,Mark,Szaranek
8780,200m Individual Medley,Men,20180706,Thomas Dean,Great Britain,Great Britain,1:59.17,119170,Thomas,Dean
9253,200m Individual Medley,Women,20180408,Siobhan-Marie O'Connor,England,Great Britain,2:09.80,129800,Siobhan-Marie,O'Connor
9275,200m Individual Medley,Women,20180408,Aimee Willmott,England,Great Britain,2:12.07,132070,Aimee,Willmott
9280,200m Individual Medley,Women,20180408,Hannah Miley,Scotland,Great Britain,2:12.50,132500,Hannah,Miley
9287,200m Individual Medley,Women,20180408,Abbie Wood,England,Great Britain,2:12.85,132850,Abbie,Wood
10056,400m Freestyle,Men,20180405,James Guy,England,Great Britain,3:45.32,225320,James,Guy
10077,400m Freestyle,Men,20180405,Daniel Jervis,Wales,Great Britain,3:48.08,228080,Daniel,Jervis
10105,400m Freestyle,Men,20180803,Stephen Milne,Scotland,Great Britain,3:50.05,230050,Stephen,Milne
10110,400m Freestyle,Men,20180803,Jay Lelliott,England,Great Britain,3:50.21,230210,Jay,Lelliott
10547,400m Freestyle,Women,20180809,Holly Hibbott,England,Great Britain,4:05.01,245010,Holly,Hibbott
10558,400m Freestyle,Women,20180410,Eleanor Faulkner,England,Great Britain,4:07.35,247350,Eleanor,Faulkner
10622,400m Freestyle,Women,20180410,Camilla Hattersley,Scotland,Great Britain,4:12.24,252240,Camilla,Hattersley
10657,400m Freestyle,Women,20180407,Alice Dearing,England,Great Britain,4:13.54,253540,Alice,Dearing
11041,400m Individual Medley,Men,20180809,Max Litchfield,England,Great Britain,4:11.00,251000,Max,Litchfield
11047,400m Individual Medley,Men,20180406,Mark Szaranek,Great Britain,Great Britain,4:13.72,253720,Mark,Szaranek
11078,400m Individual Medley,Men,20180405,Fraser Minnican,England,Great Britain,4:17.15,257150,Fraser,Minnican
11088,400m Individual Medley,Men,20180708,Thomas Dean,Great Britain,Great Britain,4:18.07,258070,Thomas,Dean
11530,400m Individual Medley,Women,20180405,Aimee Willmott,England,Great Britain,4:34.90,274900,Aimee,Willmott
11532,400m Individual Medley,Women,20180405,Hannah Miley,Scotland,Great Britain,4:35.16,275160,Hannah,Miley
11560,400m Individual Medley,Women,20180405,Abbie Wood,England,Great Britain,4:40.55,280550,Abbie,Wood
11576,400m Individual Medley,Women,20180301,Rosie Rudin,England,Great Britain,4:42.80,282800,Rosie,Rudin
12057,50m Backstroke,Men,20180803,Nicholas Pyle,Great Britain,Great Britain,25.10,25100,Nicholas,Pyle
12088,50m Backstroke,Men,20180408,Xavier Castelli,Wales,Great Britain,25.44,25440,Xavier,Castelli
12106,50m Backstroke,Men,20180407,Harry Shalamon,Jersey,Great Britain,25.52,25520,Harry,Shalamon
12114,50m Backstroke,Men,20180724,Martyn Walton,England,Great Britain,25.55,25550,Martyn,Walton
12519,50m Backstroke,Women,20180804,Georgia Davies,Wales,Great Britain,27.21,27210,Georgia,Davies
12539,50m Backstroke,Women,20180804,Kathleen Dawson,Scotland,Great Britain,27.92,27920,Kathleen,Dawson
12553,50m Backstroke,Women,20180410,Cassie Wild,Scotland,Great Britain,28.18,28180,Cassie,Wild
12554,50m Backstroke,Women,20180301,Lucy Hope,Great Britain,Great Britain,28.18,28180,Lucy,Hope
13008,50m Breaststroke,Men,20180808,Adam Peaty,England,Great Britain,26.09,26090,Adam,Peaty
13037,50m Breaststroke,Men,20180807,Ross Murdoch,Scotland,Great Britain,27.27,27270,Ross,Murdoch
13040,50m Breaststroke,Men,20180414,Lawrence Palmer,Great Britain,Great Britain,27.31,27310,Lawrence,Palmer
13043,50m Breaststroke,Men,20180725,Craig Benson,Scotland,Great Britain,27.33,27330,Craig,Benson
13500,50m Breaststroke,Women,20180808,Imogen Clark,Great Britain,Great Britain,30.04,30040,Imogen,Clark
13509,50m Breaststroke,Women,20180406,Sarah Vasey,England,Great Britain,30.60,30600,Sarah,Vasey
13538,50m Breaststroke,Women,20180724,Katie Matts,Great Britain,Great Britain,31.20,31200,Katie,Matts
13542,50m Breaststroke,Women,20180405,Chloe Tutton,Wales,Great Britain,31.24,31240,Chloe,Tutton
13995,50m Butterfly,Men,20180807,Benjamin Proud,England,Great Britain,22.78,22780,Benjamin,Proud
14108,50m Butterfly,Men,20180806,Jacob Peters,England,Great Britain,23.95,23950,Jacob,Peters
14126,50m Butterfly,Men,20180729,Sam Horrocks,Great Britain,Great Britain,24.04,24040,Sam,Horrocks
14133,50m Butterfly,Men,20180613,James Guy,England,Great Britain,24.05,24050,James,Guy
14534,50m Butterfly,Women,20180113,Harriet Jones,Wales,Great Britain,26.63,26630,Harriet,Jones
14550,50m Butterfly,Women,20180407,Alys Thomas,Wales,Great Britain,26.72,26720,Alys,Thomas
14570,50m Butterfly,Women,20180725,Emily Barclay,Great Britain,Great Britain,26.83,26830,Emily,Barclay
14610,50m Butterfly,Women,20180725,Jasmine Mccrea,Great Britain,Great Britain,27.08,27080,Jasmine,Mccrea
14974,50m Freestyle,Men,20180808,Benjamin Proud,England,Great Britain,21.11,21110,Benjamin,Proud
14998,50m Freestyle,Men,20180410,David Cumberlidge,England,Great Britain,22.00,22000,David,Cumberlidge
15009,50m Freestyle,Men,20180409,Thomas Fannon,England,Great Britain,22.09,22090,Thomas,Fannon
15045,50m Freestyle,Men,20180408,Alex Bowen,Great Britain,Great Britain,22.35,22350,Alex,Bowen
15490,50m Freestyle,Women,20181129,Anna Hopkin,England,Great Britain,24.93,24930,Anna,Hopkin
15494,50m Freestyle,Women,20180726,Emily Barclay,Great Britain,Great Britain,24.94,24940,Emily,Barclay
15547,50m Freestyle,Women,20180707,Freya Anderson,England,Great Britain,25.35,25350,Freya,Anderson
15618,50m Freestyle,Women,20180407,Katie Stark,Great Britain,Great Britain,25.65,25650,Katie,Stark
16006,800m Freestyle,Men,20180303,Jay Lelliott,England,Great Britain,7:57.31,477310,Jay,Lelliott
16012,800m Freestyle,Men,20180807,Tom Derbyshire,Great Britain,Great Britain,7:58.26,478260,Tom,Derbyshire
16041,800m Freestyle,Men,20180301,Daniel Jervis,Wales,Great Britain,8:01.56,481560,Daniel,Jervis
16078,800m Freestyle,Men,20180707,Nathan Hughes,Great Britain,Great Britain,8:05.15,485150,Nathan,Hughes
16472,800m Freestyle,Women,20180409,Holly Hibbott,England,Great Britain,8:29.05,509050,Holly,Hibbott
16484,800m Freestyle,Women,20180409,Camilla Hattersley,Scotland,Great Britain,8:32.65,512650,Camilla,Hattersley
16506,800m Freestyle,Women,20180408,Jazmin Carlin,Wales,Great Britain,8:36.52,516520,Jazmin,Carlin
16524,800m Freestyle,Women,20180725,Polly Holden,Great Britain,Great Britain,8:38.73,518730,Polly,Holden
